City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
136,Mahajanga,MG,78.82,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
137,Malakal,SS,77.25,few clouds,9.5334,31.6605,Nile Palace Hotel
138,Concepcion Del Oro,MX,60.51,scattered clouds,24.6333,-101.4167,Hotel Hacienda San Javier
139,Kapaa,US,71.92,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
143,Ganzhou,CN,60.58,clear sky,28.8184,115.4327,Laotou Farm Restaurant Hostel
144,Dunedin,NZ,53.22,moderate rain,-45.8742,170.5036,Scenic Hotel Southern Cross
145,East London,ZA,68.86,light rain,-33.0153,27.9116,Tu Casa
146,Springville,US,50.67,clear sky,40.1652,-111.6107,Best Western Mountain View Inn
149,Katsuura,JP,50.14,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
152,Victoria,HK,69.24,broken clouds,22.2855,114.1577,Mini Hotel Central
156,Atuona,PF,78.53,clear sky,-9.8,-139.0333,Villa Enata
157,Mogok,MM,70.32,broken clouds,22.9167,96.5,MOGOK HILL HOTEL
163,Bo Phloi,TH,69.76,overcast clouds,14.3236,99.5161,แอท เมืองพลอย รีสอร์ท At MuangPloy Resort
166,Morondava,MG,79.14,clear sky,-20.2833,44.2833,La Case Bambou
169,Hilo,US,69.24,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
170,Franca,BR,67.23,overcast clouds,-20.5386,-47.4008,Imperador Palace Hotel
171,Saldanha,ZA,60.03,light rain,-33.0117,17.9442,Blue Bay Lodge
173,Posse,BR,67.57,broken clouds,-14.0931,-46.3694,Pousada das Palmeiras
175,Maymyo,MM,66.76,broken clouds,22.0333,96.4667,Tiger Hotel
177,Vila Velha,BR,73.35,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
179,Rome,US,63.01,overcast clouds,34.257,-85.1647,La Quinta Inn & Suites by Wyndham Rome
180,Longhua,CN,68.09,broken clouds,23.6137,114.1919,Huadu Hotel
188,Upata,VE,69.73,scattered clouds,8.0086,-62.3989,Posada Villa Nela
189,Cape Town,ZA,62.1,light rain,-33.9258,18.4232,Southern Sun Waterfront Cape Town
190,Buraydah,SA,56.5,clear sky,26.326,43.975,فندق راحة السلام
193,Naze,JP,60.6,overcast clouds,28.3667,129.4833,Shishime Hotel
194,Bocas Del Toro,PA,78.53,overcast clouds,9.3333,-82.25,Hotel Bocas del Toro
196,Omboue,GA,77.11,light rain,-1.5746,9.2618,Hotel Olako
199,Lebu,CL,53.53,clear sky,-37.6167,-73.65,Hostal Las Lilas
203,Coihaique,CL,57.15,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
205,Eirunepe,BR,73.96,heavy intensity rain,-6.6603,-69.8736,Atrás de você
