City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,Verkhoyansk,67.5447,133.385,-22.45,97,100,1.61,RU,2021-12-05 02:43:40
67,Kisleta,47.8424,22.0039,33.35,68,100,5.39,HU,2021-12-05 02:43:40
68,Port Alfred,-33.5906,26.891,67.93,94,100,26.42,ZA,2021-12-05 02:43:08
69,Obigarm,38.7173,69.7088,39.54,52,100,1.39,TJ,2021-12-05 02:43:40
70,Thompson,55.7435,-97.8558,-11.04,77,40,4.61,CA,2021-12-05 02:39:31
71,San Patricio,28.017,-97.5169,74.89,82,100,10.85,US,2021-12-05 02:34:23
72,Mnogovershinnyy,53.9353,139.9242,0.37,84,68,8.12,RU,2021-12-05 02:43:41
73,Tofield,53.3668,-112.6686,12.81,92,100,8.81,CA,2021-12-05 02:39:03
74,Jaslo,49.7451,21.4725,35.01,63,100,12.84,PL,2021-12-05 02:43:41
75,Esperance,-33.8667,121.9,76.84,51,0,10.33,AU,2021-12-05 02:43:42
76,Obera,-27.4871,-55.1199,69.17,65,96,1.99,AR,2021-12-05 02:43:42
77,Port Elizabeth,-33.918,25.5701,63.1,95,100,20.65,ZA,2021-12-05 02:43:42
78,Mongoumba,3.6415,18.5936,72.09,93,100,2.68,CF,2021-12-05 02:43:43
79,Omsukchan,62.5333,155.8,-32.21,95,19,3.85,RU,2021-12-05 02:43:43
80,Kruisfontein,-34.0033,24.7314,60.89,97,100,15.26,ZA,2021-12-05 02:43:43
81,New Norfolk,-42.7826,147.0587,73.65,30,0,3.0,AU,2021-12-05 02:43:44
82,Aswan,24.0934,32.907,63.7,31,0,8.05,EG,2021-12-05 02:31:12
83,Copiapo,-27.3667,-70.3333,55.09,46,52,1.14,CL,2021-12-05 02:43:44
84,Kupang,-10.1667,123.5833,88.38,79,75,6.91,ID,2021-12-05 02:43:44
85,Cabo San Lucas,22.8909,-109.9124,78.51,75,1,11.5,MX,2021-12-05 02:34:52
86,Guerrero Negro,27.9769,-114.0611,62.15,83,47,15.79,MX,2021-12-05 02:40:10
87,Bathsheba,13.2167,-59.5167,81.21,69,40,18.41,BB,2021-12-05 02:43:45
88,Tomatlan,19.9333,-105.25,72.14,95,73,1.79,MX,2021-12-05 02:43:45
89,Kavieng,-2.5744,150.7967,83.14,79,100,11.81,PG,2021-12-05 02:29:49
90,Yulara,-25.2406,130.9889,76.84,33,74,31.07,AU,2021-12-05 02:43:46
91,Barra Do Corda,-5.5,-45.25,73.29,97,100,1.79,BR,2021-12-05 02:43:47
92,Pesaro,43.9036,12.8903,56.21,80,71,6.29,IT,2021-12-05 02:44:47
93,Vilyuysk,63.7553,121.6247,1.6,93,100,5.5,RU,2021-12-05 02:44:47
94,Beringovskiy,63.05,179.3167,31.39,99,100,27.58,RU,2021-12-05 02:43:08
95,Mahebourg,-20.4081,57.7,78.26,83,75,3.44,MU,2021-12-05 02:41:17
96,Shenjiamen,29.9576,122.298,57.97,54,100,4.65,CN,2021-12-05 02:44:48
97,Mar Del Plata,-38.0023,-57.5575,61.09,87,100,1.01,AR,2021-12-05 02:44:48
98,Goma,-1.6792,29.2228,62.65,85,100,2.62,CD,2021-12-05 02:44:48
99,The Valley,18.217,-63.0578,80.46,75,3,18.86,AI,2021-12-05 02:42:37
100,Qaanaaq,77.484,-69.3632,3.83,63,95,9.17,GL,2021-12-05 02:44:49
101,Isangel,-19.55,169.2667,86.11,94,75,9.22,VU,2021-12-05 02:44:49
102,Avarua,-21.2078,-159.775,80.65,83,40,4.61,CK,2021-12-05 02:39:33
103,Port Blair,11.6667,92.75,81.84,72,64,12.41,IN,2021-12-05 02:44:49
104,Beloha,-25.1667,45.05,73.85,87,15,1.1,MG,2021-12-05 02:44:50
105,Hervey Bay,-25.2986,152.8535,84.31,68,74,7.0,AU,2021-12-05 02:44:50
106,Miquelon,47.0975,-56.3814,32.14,55,100,27.98,PM,2021-12-05 02:44:50
107,Faya,18.3851,42.4509,46.51,39,0,2.33,SA,2021-12-05 02:41:11
108,Tagusao,9.1924,117.8141,84.18,68,29,5.64,PH,2021-12-05 02:44:51
109,Hobart,-42.8794,147.3294,74.01,46,40,3.0,AU,2021-12-05 02:40:47
110,Longyearbyen,78.2186,15.6401,19.24,73,75,19.57,SJ,2021-12-05 02:44:51
111,Vardo,70.3705,31.1107,20.75,72,47,29.64,NO,2021-12-05 02:34:53
112,Ranong,9.9658,98.6348,80.53,63,98,11.18,TH,2021-12-05 02:44:42
113,Saint-Joseph,-21.3667,55.6167,77.38,77,25,9.22,RE,2021-12-05 02:44:52
114,Camacupa,-12.0167,17.4833,61.7,98,100,3.09,AO,2021-12-05 02:44:52
115,Te Anau,-45.4167,167.7167,45.72,97,100,6.82,NZ,2021-12-05 02:44:53
116,Ancud,-41.8697,-73.8203,54.93,78,0,3.53,CL,2021-12-05 02:44:53
117,Darhan,49.4867,105.9228,18.52,75,99,1.72,MN,2021-12-05 02:44:53
118,Carnarvon,-24.8667,113.6333,82.47,61,0,6.91,AU,2021-12-05 02:44:53
119,Camacha,33.0833,-16.3333,62.02,63,40,13.8,PT,2021-12-05 02:44:54
120,Bilibino,68.0546,166.4372,-36.76,95,58,4.65,RU,2021-12-05 02:44:54
121,Cabedelo,-6.9811,-34.8339,79.47,84,40,11.74,BR,2021-12-05 02:44:54
122,Gurgentepe,40.7883,37.6017,38.7,58,100,8.75,TR,2021-12-05 02:44:55
123,Qui Nhon,13.7667,109.2333,71.38,78,100,19.37,VN,2021-12-05 02:44:55
124,Adeje,28.1227,-16.726,65.28,54,20,20.71,ES,2021-12-05 02:44:56
125,Tolaga Bay,-38.3667,178.3,73.67,58,74,18.12,NZ,2021-12-05 02:44:56
126,Vila Franca Do Campo,37.7167,-25.4333,63.19,83,46,1.23,PT,2021-12-05 02:36:00
127,Bethel,41.3712,-73.414,43.11,76,1,1.01,US,2021-12-05 02:39:33
128,Tarandacuao,20.0,-100.5333,54.79,43,67,4.47,MX,2021-12-05 02:44:56
129,Tahta,26.7693,31.5021,55.72,28,80,10.18,EG,2021-12-05 02:44:57
130,Ponta Do Sol,32.6667,-17.1,65.03,67,90,9.33,PT,2021-12-05 02:44:57
131,Vredendal,-31.6683,18.5012,62.24,77,58,3.02,ZA,2021-12-05 02:44:57
132,Grandola,38.1772,-8.5668,53.35,94,13,7.27,PT,2021-12-05 02:44:58
133,Bisho,-32.8472,27.4422,62.91,98,98,6.64,ZA,2021-12-05 02:44:58
134,Ambilobe,-13.2,49.05,76.35,72,41,4.25,MG,2021-12-05 02:43:25
135,Dikson,73.5069,80.5464,-11.18,98,100,20.65,RU,2021-12-05 02:40:48
136,Mahajanga,-15.7167,46.3167,78.82,65,20,5.75,MG,2021-12-05 02:44:59
137,Malakal,9.5334,31.6605,77.25,34,14,5.14,SS,2021-12-05 02:45:59
138,Concepcion Del Oro,24.6333,-101.4167,60.51,36,49,5.01,MX,2021-12-05 02:46:00
139,Kapaa,22.0752,-159.319,71.92,71,75,1.99,US,2021-12-05 02:46:01
140,Pangnirtung,66.1451,-65.7125,19.4,86,90,6.91,CA,2021-12-05 02:46:01
141,Betsiamites,48.9413,-68.646,21.09,78,38,6.04,CA,2021-12-05 02:43:11
142,Culaman,5.9603,125.6586,85.05,67,100,10.07,PH,2021-12-05 02:46:02
143,Ganzhou,28.8184,115.4327,60.58,35,0,1.63,CN,2021-12-05 02:46:02
