City_ID,City,Lat,Lng,Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
59,Dubbo,-32.25,148.6167,broken clouds,77.13,47,75,17.27,AU,2021-12-05 03:07:28
60,Sisimiut,66.9395,-53.6735,overcast clouds,37.49,42,100,28.95,GL,2021-12-05 03:07:28
61,Nuuk,64.1835,-51.7216,light shower snow,41.61,56,90,14.97,GL,2021-12-05 03:07:29
62,Mollendo,-17.0231,-72.0147,overcast clouds,67.6,85,100,7.67,PE,2021-12-05 03:07:29
63,Ilulissat,69.2167,-51.1,light rain,37.42,41,100,36.82,GL,2021-12-05 03:07:29
64,Fortuna,40.5982,-124.1573,overcast clouds,50.67,92,90,1.99,US,2021-12-05 03:07:30
65,Saint George,37.1041,-113.5841,clear sky,54.54,41,1,1.99,US,2021-12-05 03:04:47
66,Verkhoyansk,67.5447,133.385,overcast clouds,-22.45,97,100,1.61,RU,2021-12-05 03:07:30
67,Kisleta,47.8424,22.0039,overcast clouds,33.35,68,100,5.39,HU,2021-12-05 03:07:30
68,Port Alfred,-33.5906,26.891,light rain,67.93,94,100,26.42,ZA,2021-12-05 03:07:31
69,Obigarm,38.7173,69.7088,overcast clouds,39.54,52,100,1.39,TJ,2021-12-05 03:07:31
70,Thompson,55.7435,-97.8558,light snow,-11.04,77,40,4.61,CA,2021-12-05 03:07:31
71,San Patricio,28.017,-97.5169,overcast clouds,73.83,82,100,10.85,US,2021-12-05 03:07:32
72,Mnogovershinnyy,53.9353,139.9242,broken clouds,0.37,84,68,8.12,RU,2021-12-05 03:07:32
73,Tofield,53.3668,-112.6686,overcast clouds,11.82,92,100,8.81,CA,2021-12-05 03:07:33
74,Jaslo,49.7451,21.4725,overcast clouds,35.01,63,100,12.84,PL,2021-12-05 03:07:33
75,Esperance,-33.8667,121.9,clear sky,73.08,51,0,10.33,AU,2021-12-05 03:07:33
76,Obera,-27.4871,-55.1199,overcast clouds,69.17,65,96,1.99,AR,2021-12-05 03:07:34
77,Port Elizabeth,-33.918,25.5701,light rain,63.1,95,100,20.65,ZA,2021-12-05 03:07:34
78,Mongoumba,3.6415,18.5936,overcast clouds,72.09,93,100,2.68,CF,2021-12-05 03:07:34
79,Omsukchan,62.5333,155.8,few clouds,-32.21,95,19,3.85,RU,2021-12-05 03:07:35
80,Kruisfontein,-34.0033,24.7314,light rain,60.89,97,100,15.26,ZA,2021-12-05 03:07:35
81,New Norfolk,-42.7826,147.0587,clear sky,72.66,31,0,1.99,AU,2021-12-05 03:07:36
82,Aswan,24.0934,32.907,clear sky,63.84,26,1,2.86,EG,2021-12-05 03:07:36
83,Copiapo,-27.3667,-70.3333,broken clouds,55.09,46,52,1.14,CL,2021-12-05 03:07:36
84,Kupang,-10.1667,123.5833,broken clouds,88.38,79,75,6.91,ID,2021-12-05 03:07:37
85,Cabo San Lucas,22.8909,-109.9124,clear sky,78.51,72,1,0.0,MX,2021-12-05 03:03:21
86,Guerrero Negro,27.9769,-114.0611,scattered clouds,62.15,83,47,15.79,MX,2021-12-05 03:07:37
87,Bathsheba,13.2167,-59.5167,few clouds,81.21,74,20,18.41,BB,2021-12-05 03:07:38
88,Tomatlan,19.9333,-105.25,broken clouds,72.14,95,73,1.79,MX,2021-12-05 03:07:38
89,Kavieng,-2.5744,150.7967,moderate rain,82.47,80,100,16.17,PG,2021-12-05 03:07:39
90,Yulara,-25.2406,130.9889,broken clouds,82.24,26,74,28.77,AU,2021-12-05 03:07:39
91,Barra Do Corda,-5.5,-45.25,overcast clouds,73.29,97,100,1.79,BR,2021-12-05 03:07:39
92,Pesaro,43.9036,12.8903,broken clouds,56.21,80,71,6.29,IT,2021-12-05 03:08:40
93,Vilyuysk,63.7553,121.6247,overcast clouds,1.6,93,100,5.5,RU,2021-12-05 03:08:40
94,Beringovskiy,63.05,179.3167,snow,31.39,99,100,27.58,RU,2021-12-05 03:08:40
